destination_id,title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
2763,Top Tour Nepal,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2764,Umesh Adventures,4.771905697445972,0,"['Parasailing & Paragliding', 'River Rafting & Tubing']",False,False,False,True,False,False,False,False,False
2765,Travelling Fantasy,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2766,Panauti Makar Mela Spot,4.771905697445972,0,['Religious Sites'],True,True,False,False,False,False,False,False,True
2767,Blue Bird Travel and Tours,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2768,Sherpa Guides Service,4.771905697445972,0,"['Climbing Tours', 'Sightseeing Tours']",False,False,True,True,False,False,False,False,False
2769,Great Himalayan Riders,4.771905697445972,0,"['Multi-day Tours', 'Biking Trails']",True,False,False,False,False,False,False,False,False
2770,Me Travel and Tours,4.771905697445972,0,"['City Tours', 'Hiking & Camping Tours']",True,True,False,False,True,False,False,False,False
2771,Tutunga View Point,4.771905697445972,0,['Lookouts'],True,True,True,False,False,False,False,False,False
2772,Langtang Valley,4.771905697445972,0,['Ski & Snowboard Areas'],False,False,False,True,True,False,False,False,False
2773,Gaurishankar,4.771905697445972,0,['Mountains'],False,False,True,False,False,False,False,False,False
2774,Tashi Delek Nepal Treks,4.771905697445972,0,"['Climbing Tours', 'Sightseeing Tours']",False,False,True,True,False,False,False,False,False
2775,Roaming Nepal,4.771905697445972,0,"['City Tours', 'Hiking & Camping Tours']",True,True,False,False,True,False,False,False,False
2776,Nepal Trekking Guide,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2777,Trekadviser,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2778,Punya Tours & Travels,4.771905697445972,0,"['Parasailing & Paragliding', 'Submarine Tours']",False,False,False,True,False,False,False,False,False
2779,Aarohi Holiday,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2780,Himalayan Randonner,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2781,Joyful Trekking,4.771905697445972,0,"['Multi-day Tours', 'Canyoning & Rappelling Tours']",True,False,False,False,False,False,False,False,False
2782,Door To Nepal Trekking Pvt Ltd,4.771905697445972,0,['Hiking Trails'],False,False,True,True,False,False,False,False,False
2783,Ayushya Health Home,4.771905697445972,0,"['Health Clubs', 'Yoga & Pilates']",False,False,False,False,False,False,False,False,False
2784,Pancha Kosha Himalayan Spa,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2785,Car & Tour Nepal,4.771905697445972,0,"['Parasailing & Paragliding', 'River Rafting & Tubing']",False,False,False,True,False,False,False,False,False
2786,Alpine Ascent Nepal,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2787,Bound Travels & Tours,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2788,Nepal Trek Ways,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2789,Outdoor Himalayan Treks,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2790,Ktm Voyage Travel and Tours,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2791,Fifth Ave Travel and Tours,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2792,Giggles,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2793,Mountain Child Adventure Travel & Trekking,4.771905697445972,0,"['Multi-day Tours', 'Helicopter Tours']",True,False,False,False,False,False,False,False,False
2794,Kamala Yoga & Adventures Pvt Ltd,4.771905697445972,0,['Yoga & Pilates'],False,False,False,False,False,True,False,False,False
2795,Nepal Tour & Trekking Service,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2796,Tharu Cultural Museum and Research Center,4.771905697445972,0,"['Speciality Museums', 'Art Museums']",False,False,False,False,False,False,False,False,False
2797,Lion Heart Tour,4.771905697445972,0,"['City Tours', 'Cultural Tours']",True,True,False,False,True,False,False,False,False
2798,Tranquility Spa - Kupondole,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2799,Tranquility Spa - Hotel Shangri-La,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
